DATE,region_location,L1_Correct,L2_Correct,L3_Correct,L4_Correct,Total,L1_Perc,L2_Perc,L3_Perc,L4_Perc
1/24/20,region 1,52,55,50,41,55,0.95,1,0.91,0.76
1/25/20,region 1,16,16,16,16,16,1,1,1,1
1/27/20,region 1,42,43,42,34,43,0.98,1,0.98,0.79
1/28/20,region 1,116,122,114,97,122,0.95,1,0.93,0.82
1/29/20,region 1,172,179,168,143,180,0.96,0.99,0.93,0.83
1/30/20,region 1,106,118,90,56,118,0.9,1,0.76,0.78
1/31/20,region 1,48,54,52,43,54,0.89,1,0.96,0.83
2/1/20,region 1,37,39,39,36,39,0.95,1,1,0.92
2/3/20,region 1,93,98,88,70,98,0.95,1,0.9,0.75
1/24/20,region 2,207,210,206,151,210,0.99,1,0.98,0.72
1/25/20,region 2,48,48,48,39,48,1,1,1,0.81
1/27/20,region 2,93,96,88,64,96,0.97,1,0.92,0.68
1/28/20,region 2,209,216,209,164,216,0.97,1,0.97,0.78
1/29/20,region 2,288,300,270,208,301,0.96,1,0.9,0.74
1/30/20,region 2,13,13,13,7,13,1,1,1,0.54
1/31/20,region 2,155,159,148,118,159,0.97,1,0.93,0.78
2/1/20,region 2,1,1,1,1,1,1,1,1,1
2/3/20,region 2,119,120,110,81,121,0.98,0.99,0.91,0.7